airportName,airporCity,airportCountryCode,airportContinent,airporElevation
Las Breas Airport,Taltal,CL,SA,2580
Samjiyŏn Airport,Samjiyŏn,KP,AS,4547
Lukla Airport,Lukla,NP,AS,9380
Sandy Lake Airport,Sandy Lake,CA,NA,951
Monfort Airport,Monfort,CO,SA,630
Semipalatinsk Airport,Semey,KZ,AS,761
Kayseri Erkilet Airport,Kayseri,TR,AS,3463
Mossendjo Airport,Mossendjo,CG,AF,1519
Tuluksak Airport,Tuluksak,US,NA,30
Ekwok Airport,Ekwok,US,NA,135
Mountain Home Air Force Base,Mountain Home,US,NA,2996
Boutilimit Airport,Boutilimit,MR,AF,121
Kuantan Airport,Kuantan,MY,AS,58
Naples Municipal Airport,Naples,US,NA,8
Coban Airport,Coban,GT,NA,4339
Balıkesir Merkez Airport,,TR,AS,340
Alexander the Great International Airport,Kavala,GR,EU,18
Raja Bhoj International Airport,Bhopal,IN,AS,1711
Hill Air Force Base,Ogden,US,NA,4789
Cruz Bay Seaplane Base,Saint John Island,VI,NA,0
Dorunda Airport,Dorunda Outstation,AU,OC,58
Roseau Municipal Rudy Billberg Field,Roseau,US,NA,1060
Hwange National Park Airport,Hwange,ZW,AF,3543
Mikonos Airport,Mykonos Island,GR,EU,405
Chita-Kadala Airport,Chita,RU,EU,2272
Lorraine Airport,,AU,OC,61
Sishen Airport,Sishen,ZA,AF,3848
Bolwarra Airport,,AU,OC,
RAF Honington,Thetford,GB,EU,174
Yalgoo Airport,Yalgoo,AU,OC,
Sumburgh Airport,Lerwick,GB,EU,20
Bandırma Airport,,TR,AS,170
Sierra Maestra Airport,Manzanillo,CU,NA,112
Tarbes-Lourdes-Pyrénées Airport,Tarbes/Lourdes/Pyrénées,FR,EU,1260
Mulege Airport,Mulege,MX,NA,66
Lava Falls Heliport,Supai Village,US,NA,1720
Baimuru Airport,Baimuru,PG,OC,27
Ibn Batouta Airport,Tangier,MA,AF,62
Currillo Airport,Currillo,CO,SA,495
Friday Harbor Airport,Friday Harbor,US,NA,113
New Cametá Airport,Cametá,BR,SA,60
Waimea Kohala Airport,Kamuela,US,NA,2671
Grand Canyon West Airport,Peach Springs,US,NA,4825
Angads Airport,Oujda,MA,AF,1535
Kamiraba Airport,Kamiraba,PG,OC,40
Wellington International Airport,Wellington,NZ,OC,41
Coronel Horácio de Mattos Airport,Lençóis,BR,SA,1676
Monte Dourado Airport,Almeirim,BR,SA,677
